备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001961,中文：活络油 ;英文/拉丁文：/,国药准字ZC20160010,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,香港九龙大角咀埃华街28号永利工业大厦13字楼A座,中文名称：英吉利制药厂有限公司;英文名称：YING KUT LEE MEDICINE FTY. LTD.,九龙油塘高辉道17号油塘工业城B2座11字楼8，9，12室,北京佳禾乐康科技有限公司,北京市丰台区航丰路8号院2号楼-1层21号,将每瓶装60ml规格的有效期由“24个月”变更为“36个月”，同时对药品说明书及包装标签中【有效期】项做相应修订。,2025-08-12,国家药品监督管理局药品审评中心,已备案
国备2025002343,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255005,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"延长替尔泊肽注射液多剂量预装笔式注射器的有效期，由18个月延长至24个月。变更后，替尔泊肽注射液多剂量预装笔式注射器的有效期信息如下：【有效期】24个月。

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-09-18,国家药品监督管理局药品审评中心,已备案
国备2025002342,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255004,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"延长替尔泊肽注射液多剂量预装笔式注射器的有效期，由18个月延长至24个月。变更后，替尔泊肽注射液多剂量预装笔式注射器的有效期信息如下：【有效期】24个月。

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-09-18,国家药品监督管理局药品审评中心,已备案
国备2025002344,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255006,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"延长替尔泊肽注射液多剂量预装笔式注射器的有效期，由18个月延长至24个月。变更后，替尔泊肽注射液多剂量预装笔式注射器的有效期信息如下：【有效期】24个月。

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-09-18,国家药品监督管理局药品审评中心,已备案
国备2025002345,中文：替尔泊肽注射液;英文/拉丁文：Tirzepatide Injection,国药准字HJ20255007,中文名称：Eli Lilly Nederland B.V.;英文名称：Eli Lilly Nederland B.V.,"Papendorpseweg 83, 3528 BJ Utrecht, The Netherlands",中文名称：Eli Lilly Italia S.p.A.;英文名称：Eli Lilly Italia S.p.A.,V. Gramsci 731-733 50019 Sesto Fiorentino (FI) Italy,礼来苏州制药有限公司,苏州工业园区方中街109号,"延长替尔泊肽注射液多剂量预装笔式注射器的有效期，由18个月延长至24个月。变更后，替尔泊肽注射液多剂量预装笔式注射器的有效期信息如下：【有效期】24个月。

礼来公司承诺，自备案公示之日起6个月内实施本备案申请内容。",2025-09-18,国家药品监督管理局药品审评中心,已备案
国备2025001833,中文：利奈唑胺片;英文/拉丁文：Linezolid Tablets,国药准字HJ20240065,中文名称：Alkem Laboratories Limited;英文名称：Alkem Laboratories Limited,"ALKEM HOUSE, Senapati Bapat Marg, Lower Parel, Mumbai – 400 013, Maharashtra, India",中文名称：Alkem Laboratories Limited;英文名称：Alkem Laboratories Limited,"Plot No: 167/2, 164, 165/1, 165/2, 165/3, Mahatma Gandhi Udyog Nagar, Village – Dabhel, Daman – 396 210, India",中诺凯琳健康产业（海南）有限公司,海南省澄迈县老城镇海南生态软件园沃克公园C8822-5F,说明书中新增【境内责任人】信息，并不再保留【境内联系人】。,2025-07-26,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001783,中文：达依泊汀α注射液;英文/拉丁文：Darbepoetin alfa Injection,S20200014,"中文名称：/;英文名称：Kyowa Kirin Co., Ltd.","1-9-2 Otemachi, Chiyoda-ku, Tokyo, Japan","中文名称：/;英文名称：Terumo Corporation, Kofu Factory","1727-1 Tsuijiarai, Showa-cho, Nakakoma-gun, Yamanashi, 409-3853, Japan ",协和麒麟（中国）制药有限公司,中国（上海）自由贸易试验区龙东大道970号,根据2025年7月10日获得的达依泊汀α注射液一次性进口批件（批件号：20250178），申请100支/盒的大包装规格，用于协和麒麟（中国）制药有限公司进行本品的进口分包装。,2025-07-18,国家药品监督管理局药品审评中心,已备案
国备2025001919,中文：左甲状腺素钠片;英文/拉丁文：Levothyroxine Sodium Tablets,HJ20240062,中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"14th km National Road 1, Kifissia GR-145 64，Greece",中文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A;英文名称：Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A,"Building B 14th km National Road 1, Kifissia GR-145 64 Greece",广东利玮医药有限公司,广东省广州市越秀区先烈中路100号大院23栋之一418房,在药品说明书中增加【境内责任人】信息。,2025-08-06,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002283,中文：胰酶肠溶胶囊;英文/拉丁文：Pancreatin Enteric-coated Capsules,国药准字HJ20171150,中文名称：无;英文名称：Abbott Laboratories GmbH,"Freundallee 9A, 30173 Hannover, Germany",中文名称：无;英文名称：Abbott Laboratories GmbH,"Justus-von-Liebig-Str.33, 31535 Neustadt, Germany",上海雅培制药有限公司,上海市奉贤区海湾镇五四公路1288号,申请备案胰酶肠溶胶囊，规格0.15g（相当于胰脂肪酶10000欧洲药典单位、胰淀粉酶8000欧洲药典单位、胰蛋白酶600欧洲药典单位），处方药说明书及包装标签。根据已批准内容更新规范本品处方药说明书及包装标签表述。,2025-09-10,国家药品监督管理局药品审评中心,已备案
国备2025001765,中文：环索奈德吸入气雾剂;英文/拉丁文：Ciclesonide Inhalation Aerosol,国药准字HJ20250036,中文名称：*;英文名称：Covis Pharma GmbH,"Grafenauweg 12 Zug, Zug Switzerland, 6300",中文名称：*;英文名称：Kindeva Drug Delivery Limited,"Derby Road Loughborough, United Kingdom, LE11 5SF",武汉人福康诚医药有限公司,武汉市东湖新技术开发区佳园路9号同亨大厦9层01号,"1 增加大包装规格：600罐/箱，大包装带标签。
2 在说明书标题上方的左角和右角分别增加核准日期和注册商标。
3 在说明书的最后一页补充环索奈德吸入气雾剂的批准文号，增加境内包装企业的信息，同时把境内联系人改为境内责任人。
4 在外标签上增加【境内包装企业】的名称和地址，补充药品批准文号，增加注册商标，把境内联系人改为境内责任人。
5 在内标签上增加注册商标。",2025-07-17,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025002958,中文：枸橼酸伊沙佐米胶囊;英文/拉丁文：Ixazomib Citrate Capsules,国药准字HJ20180011,中文名称：无;英文名称：Takeda Pharma A/S,"Delta Park 45, 2665 Vallensbaek Strand, Denmark",中文名称：无;英文名称：Haupt Pharma Amareg GmbH；Takeda Ireland Ltd.,"Donaustaufer Strasse 378, Regensburg, Bayern 93055, Germany；Grange Castle Business Park, Nangor Road, Dublin 22, D22 XR57, Ireland",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"1. 枸橼酸伊沙佐米胶囊（2.3mg）次级包装厂以及枸橼酸伊沙佐米胶囊（3mg和4mg）生产厂、初级包装厂、次级包装厂均为Takeda Ireland Ltd。申请Takeda Ireland Ltd的地址名称由 Grange Castle Business Park, Dublin 22, D22 XR57, Ireland变更为：Grange Castle Business Park, Nangor Road, Dublin 22, D22 XR57, Ireland。本变更仅为地址名称的变更，实际地址未发生变化。
2. 延长枸橼酸伊沙佐米胶囊（2.3mg，3mg和4mg）所用原料药枸橼酸伊沙佐米的有效期延长至60个月。
3. 在枸橼酸伊沙佐米胶囊（2.3mg，3mg和4mg）现行说明书中，添加包装厂信息。",2025-11-18,国家药品监督管理局药品审评中心,已备案
