备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025002938,中文：爱活胆通软胶囊;英文/拉丁文：/,国药准字ZJ20090007,中文名称：德国汉堡爱活大药厂 ;英文名称：Pharmazeutische Fabrik Evers GmbH & Co.KG,"Siemensstr.4,25421 Pinneberg",中文名称：/;英文名称：Catalent Germany Eberbach GmbH,"Gammelsbacher Str.2,69412 Eberbach",澳美制药（海南）有限公司,海口国家高新技术产业开发区药谷工业园药谷一路2号,"取消“国备2025002888”备案，以此次备案内容为准。修订40粒和100粒分包装小盒的内容，具体如下：
1、在注册商标HITRECHOL右上角加上注册商标符号；
2、对原英文适应症所在面做如下修订：2.1将英文适应症、性状移至英文成分所在面，删除其余英文内容；2.2将中文成分、规格、性状、有效期、包装、贮藏、不良反应、禁忌、注意事项、用法用量、批准文号、药品上市许可持有人、注册地址、生产企业、生产地址移至该面；2.3增加药品上市许可持有人中英文Logo； 
3、对原中文成份所在面做如下修订：3.1删除所有内容；3.2增加注册商标HITRECHOL；3.3增加药品上市许可持有人、注册地址及Logo；
4、对中文适应症所在面做如下修订：4.1删除中文性状、药品上市许可持有人、注册地址、生产企业、生产地址；4.2变更图案；4.3增加药品上市许可持有人英文Logo。",2025-11-14,国家药品监督管理局药品审评中心,已备案
国备2025002934,中文：吸入用一氧化氮;英文/拉丁文：Nitric Oxide for Inhalation,国药准字HJ20220015,中文名称：无;英文名称：INO Therapeutics LLC,"440 Route 22 East, Bridgewater, NJ 08807 United States of America",中文名称：无;英文名称：Mallinckrodt Manufacturing LLC,"1060 Allendale Drive, Port Allen, LA 70767 United States of America",广州兆科联发医药有限公司,广州市南沙区珠江工业园美德三路1号自编A栋四层,1. 按照国家药品监督管理局发布的《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号）以及国家药品审评中心发布的【境内责任人】信息如何在药品说明书和标签中列出的共性问题解答，修订本品的现行药品说明书，删除【境内联系机构】信息。2. 根据广州兆科联发医药有限公司的最新营业执照，修订本品现行药品说明书中【境内责任人】的地址，由广州市南沙区珠江工业园美德三路1号自编A区4层修订为广州市南沙区珠江工业园美德三路1号自编A栋四层。,2025-11-14,国家药品监督管理局药品审评中心,已备案
国备2025002985,中文：氯吡格雷阿司匹林片;英文/拉丁文：Clopidogrel Bisulfate and Aspirin Tablets,国药准字HJ20210074,"中文名称：无;英文名称：sanofi-aventis Korea Co., Ltd.","235, Banpo-daero, Seocho-gu, Seoul, Republic of Korea",中文名称：无;英文名称：Sanofi Winthrop Industrie,"1 rue de la Vierge, Ambares et Lagrave, 33565 Carbon Blanc Cedex France",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,"根据本品进口小包装已批准的生产厂名称和地址行政信息的更新（生产场地无实质变化) ：名称由Sanofi Winthrop Industrie, Ambares Plant变更为Sanofi Winthrop Industrie, 地址由1, rue de la Vierge Ambares et Lagrave 33565 Carbon Blanc Cedex France变更为1 rue de la Vierge, Ambares et Lagrave, 33565 Carbon Blanc Cedex France（备案号：国备2025002820），更新本品分包装说明书和标签中生产厂名称和地址的相关内容。",2025-11-20,国家药品监督管理局药品审评中心,已备案
国备2025002977,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20150242,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002978,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20150241,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002979,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20150240,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002980,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20150239,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002981,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20140883,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002982,中文：碘帕醇注射液;英文/拉丁文：Iopamidol Injection,国药准字HJ20140885,中文名称：---;英文名称：Bracco Imaging S.P.A.,"Via E. Folli, 50-20134 Milano, Italy",中文名称：---;英文名称：Patheon Italia S.P.A.,"2° Trav. SX Via Morolense, 5-03013 Ferentino (FR), Italy",博莱科医药科技（上海）有限公司,上海市浦东新区龙桂路121号7幢1层102室,申请本品继续在上海博莱科信谊药业有限责任公司（分包装地址：上海市浦东新区龙桂路121号6幢全幢）进行分包装。,2025-11-19,国家药品监督管理局药品审评中心,已备案
国备2025002946,中文：兔抗人胸腺细胞免疫球蛋白;英文/拉丁文：Rabbit Anti-human Thymocyte Immunoglobulin,国药准字SJ20150035 国药准字 SJ20150036,中文名称：/;英文名称：Sanofi B.V.,"PAASHEUVELWEG 25, 1105 BP Amsterdam, Pays Bas/The Netherlands",中文名称：/;英文名称：Genzyme Ireland Ltd.,"IDA Industrial Park Old Kilmeaden Road, Waterford, Ireland",赛诺菲（中国）投资有限公司,北京市朝阳区建国路112号7层,"根据对应进口小包装和大包装已获批的补充申请批准通知书（受理号：JYSB2500059和JYSB2500060；通知书编号：2025B02451和2025B02452）上面登记的生产企业由Sanofi Winthrop Industrie变更为Genzyme Ireland Ltd.，地址由23 boulevard Chambaud de la Bruyère, 69007 Lyon-France变更为IDA Industrial Park Old Kilmeaden Road, Waterford, Ireland，更新分包装的上述信息。本次变更为生产厂信息的变更，生产场地无实质性变更，制造及检定规程（MTP）和产品质量标准（JS20240041）不发生变更。对本品分包装说明书及标签进行相应修订，使其与本品进口药品说明书及标签保持一致。并在备案完成后按要求在文件中补充新的修改日期（即公示的备案日期）。",2025-11-15,国家药品监督管理局药品审评中心,已备案
国备2025002963,中文：哌柏西利胶囊;英文/拉丁文：Palbociclib Capsules,国药准字HJ20180040,中文名称：无;英文名称：Pfizer Europe MA EEIG,"Boulevard de la Plaine 17,1050 Bruxelles,Belgium",中文名称：无;英文名称：Pfizer Manufacturing Deutschland GmbH,"Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany",辉瑞投资有限公司,上海市南京西路1168号中信泰富广场36层,"本次申请为补充国备2025000507中的备案内容，即更新本品注册证书中生产企业名称及生产地址描述，与CPP保持一致，实际地址未发生变化，仅为行政性变更，具体为：原生产企业名称：PfizerManufacturing Deutschland GmbH Betriebsstatte Freiburg 生 产 地 址：Mooswaldallee 1,79090 Freiburg, Germany 
更新为生产企业名称: Pfizer Manufacturing Deutschland GmbH 生 产 地 址: Mooswaldallee 1, 79108 Freiburg Im Breisgau, Germany
本品说明书、包装标签中生产企业名称和生产地址已在（国备2025000507）中更新完成",2025-11-18,国家药品监督管理局药品审评中心,已备案
