备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025000268,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20247007,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000269,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20181007,中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000270,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20181006,中文名称：/;英文名称：Baxalta US Inc,"300 Shire Way, Lexington, MA 02421 US",中文名称：/;英文名称：Baxalta US Inc.,"300 Shire Way, Lexington, MA 02421 US",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,"根据《中国药典》三部（2020年版）人血白蛋白“3.3.3.3纯度”，将本品注册标准“纯度”项更新为“按《中国药典》三部（2020年版）通则0541第二法《醋酸纤维素薄膜电泳法》或第三法《琼脂糖凝胶电泳法》进行，白蛋白含量应不低于蛋白质总量的96%”，其它内容不变。涉及规格为：10g/袋(20%, 50ml)、12.5g/袋（25%，50ml)、25g/袋（25%，100ml)。",2025-02-26,国家药品监督管理局药品审评中心,已备案
国备2025000562,中文：注射用维拉苷酶α;英文/拉丁文：Velaglucerase Alfa for Injection,国药准字SJ20210013,中文名称：无;英文名称：Takeda Pharmaceuticals International AG Ireland Branch,"Block 2 Miesian Plaza, 50-58 Baggot Street Lower, Dublin 2, D02 HW68, Ireland",中文名称：无;英文名称：Vetter Pharma-Fertigung GmbH & Co.KG,"Mooswiesen 2, 88214, Ravensburg, Germany",武田（中国）国际贸易有限公司,中国（上海）自由贸易试验区美盛路56号2层220室,新增一批工作标准品（批号：RS-EPT13007）用于原液和制剂的放行检测和稳定性研究。,2025-03-26,国家药品监督管理局药品审评中心,已备案
Y国备2025000391,中文：盐酸美金刚;英文/拉丁文：Memantine Hydrochloride,Y20180001481,中文名称：MSN Pharmachem Private Limited;英文名称：MSN Pharmachem Private Limited,"Plot No.: 182 to 186, 192-A, 193 to 197 & 212 / A,B,C,D, Phase-Ⅱ, IDA Pashamylaram, Pashamylaram (Village) Patancheru (Mandal), Sangareddy District, Telangana, Pin code: 502307, India.",中文名称：MSN Pharmachem Private Limited;英文名称：MSN Pharmachem Private Limited,"Plot No.: 182 to 186, 192-A, 193 to 197 & 212 / A,B,C,D, Phase-Ⅱ, IDA Pashamylaram, Pashamylaram (Village) Patancheru (Mandal), Sangareddy District, Telangana, Pin code: 502307, India.",北京莱瑞森医药科技有限公司,北京市朝阳区北苑东路19号院2号楼25层2508,"生产地址描述变更（由“Plot No.: 212 / A,B,C,D, Phase-Ⅱ, IDA Pashamylaram, Pashamylaram (Village), Patancheru (Mandal), Sangareddy District, Telangana, Pin code: 502307, India.”变更为“ Plot No.: 182 to 186, 192-A, 193 to 197 & 212 / A,B,C,D, Phase-Ⅱ, IDA Pashamylaram, Pashamylaram (Village) Patancheru (Mandal), Sangareddy District, Telangana, Pin code: 502307, India.”）",2025-03-07,国家药品监督管理局药品审评中心,已备案
国备2025000241,中文：柑橘黄酮片;英文/拉丁文：Citrus Bioflavonoids Tablets,国药准字HJ20140455,中文名称：NA;英文名称：LES LABORATOIRES SERVIER,"50, rue Carnot, 92284 Suresnes cedex, France",中文名称：NA;英文名称：LES LABORATOIRES SERVIER INDUSTRIE,"905, route de Saran, 45520 GIDY, France",施维雅（天津）制药有限公司,天津经济技术开发区第十大街,"本品进口小包装再注册申请已获得批准，并已完成进口大包装备案，现申请对境外生产药品大包装20,000片/桶和280,000片/袋进行分包装。",2025-02-21,国家药品监督管理局药品审评中心,经审查，对于分包装说明书中增加【境内责任人】信息请后续按照统一要求办理。
Y国备2025000417,中文：托伐普坦;英文/拉丁文：Tolvaptan,Y20200001002,中文名称：Aurore Pharmaceuticals Private Limited;英文名称：Aurore Pharmaceuticals Private Limited,"Plot No.35, 36, 38 to 40 & 49 to 51, Phase IV, IDA Jeedimetla, Quthbullapur (M), Medchal-Malkajgiri District-500 055,Telangana State, India",中文名称：Aurore Pharmaceuticals Private Limited;英文名称：Aurore Pharmaceuticals Private Limited,"Plot No.35, 36, 38 to 40 & 49 to 51, Phase IV, IDA Jeedimetla, Quthbullapur (M), Medchal-Malkajgiri District-500 055,Telangana State, India",广州市桐晖药业有限公司,广州市黄埔区科学大道181号1201房1203房（仅限办公）,将有效期由48个月延长为60个月。,2025-03-11,国家药品监督管理局药品审评中心,已备案
Y国备2025000816,中文：富马酸喹硫平;英文/拉丁文： Quetiapine Fumarate,Y20170002124,中文名称：Luye Pharma Limited;英文名称：Luye Pharma Limited,"Surrey Technology Centre, 40 Occam Road, Surrey Research Park, Guildford, GU2 7YG, United Kingdom",中文名称：Ajinomoto OmniChem;英文名称：Ajinomoto OmniChem,"Cooppallaan 91, B-9230 Wetteren,Belgium",山东绿叶制药有限公司,山东省烟台市高新区创业路15号,进口原料药富马酸喹硫平（登记号Y20170002124）注册代理机构由阿斯利康投资（中国）有限公司变更为山东绿叶制药有限公司。,2025-05-21,国家药品监督管理局药品审评中心,已备案
Y国备2025000460,中文：格列本脲;英文/拉丁文：Glibenclamide,Y20200000885,中文名称：无;英文名称：Elixir Pharma Chem Private Limited,"Plot-No: 164-A, Phase-Ⅱ, Opp. Lathia Industries, G.I.D.C, Naroda. Ahmedabad – 382330. Gujarat, INDIA.",中文名称：无;英文名称：Elixir Pharma Chem Private Limited,"Plot-No: 164-A, Phase-Ⅱ, Opp. Lathia Industries, G.I.D.C, Naroda. Ahmedabad – 382330. Gujarat, INDIA.",山东国茂企业管理有限公司,山东省青岛市市北区南京路377号,将格列本脲原料药有效期延长至60个月。,2025-03-14,国家药品监督管理局药品审评中心,已备案
国备2025000421,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20202003,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London, EC2A 3NP,United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland, NE23 3JU,United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,申请在7片/盒包装规格的基础上增加14片x2板/盒的包装规格，同时修订说明书和药品标签的包装规格项下的有关内容。,2025-03-12,国家药品监督管理局药品审评中心,已备案
国备2025000606,中文：氯沙坦钾片;英文/拉丁文：Losartan Potassium Tablets,国药准字HJ20171246,中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"The Hewett Building, 14 Hewett Street, London,EC2A 3NP，United Kingdom",中文名称：不适用;英文名称：Organon Pharma (UK) Limited,"Shotton Lane, Cramlington, Northumberland NE23 3JU，United Kingdom",欧加隆（上海）医药科技有限公司,中国（上海）自由贸易试验区东育路255弄4号A栋5层503单元（名义楼层，实际楼层4层）,依照近期发布的《美国药典》的更新，并与《中国药典》2020年版中的氯沙坦钾原料药的各论保持一致，申请变更氯沙坦钾原料药企业内部质量标准中的部分检验项目和检验方法。,2025-03-29,国家药品监督管理局药品审评中心,已备案
