备案号,药品通用名称,药品批准文号,上市许可持有人,上市许可持有人地址,生产企业名称,生产企业地址,代理机构,代理机构地址,备案内容,备案日期,备案机关,备注,注
国备2025001144,中文：米曲菌胰酶片;英文/拉丁文：Oryz-Aspergillus Enzyme And Pancreatin Tablet,国药准字HJ20170092,中文名称：/;英文名称：Bridging Pharma GmbH,"8807 Freienbach, Switzerland",中文名称：/;英文名称：Nordmark Pharma GmbH,"Pinnauallee 4, 25436 Uetersen, Germany",深圳市康哲生物科技有限公司,深圳市南山区南头街道马家龙社区南山大道3186号莲花广场B栋801,"1. 本品为泡罩包装，进口原小包装增加包装规格，在现有包装规格20片/盒（10片/板，2板/盒）基础上，增加新包装规格60片/盒（10片/板，6板/盒），直接接触药品的包材未发生改变。同时新增本品进口原小包装（60片/盒）的包装标签，并对原小包装说明书中【包装】项作相应修订。
2. 本品进口原小包装的药品上市许可持有人地址描述变更为“8807 Freienbach, Switzerland”，实际地址未发生变化。同时对本品原小包装的说明书和包装标签相应内容作修订。",2025-05-23,国家药品监督管理局药品审评中心,已备案
国备2025000535,中文：双氯芬酸二乙胺乳胶剂;英文/拉丁文：Diclofenac Diethylamine Emulgel,国药准字HJ20255003,中文名称：Haleon Schweiz AG;英文名称：Haleon Schweiz AG,"6343 Risch, Switzerland",中文名称：Haleon CH SARL;英文名称：Haleon CH SARL,"Route de l'Etraz 1260 Nyon, Switzerland",中美天津史克制药有限公司,天津市东丽区程林庄工业区,"增加制剂所用原料药供应商：河南东泰制药有限公司，同时对制剂生产商遵循的原料药内控质量标
准进行相应变更。",2025-03-22,国家药品监督管理局药品审评中心,经审查，根据《已上市化学药品药学变更研究技术指导原则（试行）》，放宽或删除已批准的质控标准（包括原料药内控标准）属于重大变更，请以补充申请形式递交。取消本次备案。
国备2025000644,中文：多奈单抗注射液;英文/拉丁文：Donanemab Injection,国药准字SJ20240047,中文名称：Eli Lilly and Company;英文名称：Eli Lilly and Company,"Lilly Corporate Center, Indianapolis, IN 46285, United States of America",中文名称：Lilly France;英文名称：Lilly France,"Z.A.-Centre de production, 2 rue du Colonel Lilly, Fegersheim 67640, FRANCE",礼来苏州制药有限公司,苏州工业园区方中街109号,此次备案申请为延长多奈单抗注射液原液的贮藏期，从24个月延长至36个月，同时更新本品制造及检定规程中相应信息。,2025-04-02,国家药品监督管理局药品审评中心,已备案
国备2025001493,中文：莉芙敏片;英文/拉丁文：----,国药准字ZJ20130001,中文名称：德国夏菩天然药物制药公司;英文名称：Schaper & Brümmer GmbH & Co. KG,"Bahnhofstraße 35, D-38259 Salzgitter,Germany",中文名称：德国夏菩天然药物制药公司;英文名称：Schaper & Brümmer GmbH & Co. KG,"Bahnhofstraße 35, D-38259 Salzgitter，Germany",美第奇商务服务（北京）有限公司,北京市朝阳区东方东路19号亮马桥外交办公大楼D1座1203A,修订“中国大陆联络处”为“中国境内责任人”,2025-06-20,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000403,中文：盐酸羟考酮注射液;英文/拉丁文：Oxycodone Hydrochloride Injection,国药准字HJ20170225,中文名称：无;英文名称：NAPP PHARMACEUTICALS LIMITED,"Cambridge Science Park, Milton Road, Cambridge, CB4 0GW",中文名称：无;英文名称：RAFA LABORATORIES LIMITED,"3 ZE'EV LEV STREET, HAR HOTZVIM INDUSTRIAL ZONE,JERUSALEM,IL9777515,ISRAEL",萌蒂（中国）制药有限公司,北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街13号20号厂房,根据本品批准的进口产品说明书，更新分包装说明书安全性内容及新增境内责任人相关信息,2025-03-08,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000404,中文：盐酸羟考酮注射液;英文/拉丁文：Oxycodone Hydrochloride Injection,国药准字HJ20170224,中文名称：无;英文名称：NAPP PHARMACEUTICALS LIMITED,"Cambridge Science Park, Milton Road, Cambridge, CB4 0GW",中文名称：无;英文名称：RAFA LABORATORIES LIMITED,"3 ZE'EV LEV STREET, HAR HOTZVIM INDUSTRIAL ZONE,JERUSALEM,IL9777515,ISRAEL",萌蒂（中国）制药有限公司,北京市通州区中关村科技园区通州园金桥科技产业基地景盛南四街13号20号厂房,根据本品批准的进口产品说明书，更新分包装说明书安全性内容及新增境内责任人相关信息,2025-03-08,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000392,中文：磺达肝癸钠注射液;英文/拉丁文：Fondaparinux Sodium Injection,国药准字HJ20181230,中文名称：无;英文名称：Aspen Pharma Trading Limited,"3016 Lake Drive, Citywest Business Campus, Dublin 24, Ireland",中文名称：无;英文名称：Aspen Notre Dame de Bondeville,1，rue de l' Abbaye，76960 Notre Dame de Bondeville，France,广州爱施健贸易咨询有限公司,广州市天河区珠江西路10号2101房（部位：自编01-06单元）（仅限办公用途）,"现有药品包材生产厂Nuova Ompi S.r.l. Unipersonale增加一个新的生产地址（Via Rocco del Prete, 504012 Cisterna di Latina (LT) Italy）。新增生产地址与原生产地址生产的药包材没有技术特性差异，对产品不构成任何改变。",2025-03-07,国家药品监督管理局药品审评中心,已备案
国备2025000495,中文：盐酸二甲双胍片;英文/拉丁文：Metformin Hydrochloride Tablets,国药准字HJ20140534,中文名称：澳大利亚艾华大药厂;英文名称：Alphapharm Pty Limited,100 & 102 Antimony & 11 & 15-25 Garnet Street CAROLE PARK QLD 4300 AUSTRALIA,中文名称：澳大利亚艾华大药厂;英文名称：Alphapharm Pty Limited,100 & 102 Antimony & 11 & 15-25 Garnet Street CAROLE PARK QLD 4300 AUSTRALIA,诚利（广州）科技有限公司,广州市天河区林和西路161号中泰国际广场写字楼第15层A1508单元,将药品说明书中的一个项目名称【境内联系人】修改为【境内责任人】，内容无变更。,2025-03-20,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025001827,中文：盐酸替那帕诺片;英文/拉丁文：Tenapanor Hydrochloride Tablets,国药准字HJ20250022,"中文名称：Ardelyx, Inc;英文名称：Ardelyx, Inc",400 Fifth Avenue Suite 210，Waltham，MA 02451 United States of America,中文名称：Patheon Pharmaceuticals Inc.;英文名称：Patheon Pharmaceuticals Inc.,"2110 E Galbraith Rd, Cincinnati, OH 45237 United States of America",上海复星医药产业发展有限公司,浦东新区康桥镇康士路25号350室（康桥）,"1. 说明书、包装、标签中的上市许可持有人、生产企业、包装厂地址信息更新为与注册证书载明的信息一致； 
2. 说明书新增境内责任人信息。",2025-07-25,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第137号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
国备2025000463,中文：人血白蛋白;英文/拉丁文：Human Albumin,国药准字SJ20160036,中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",中文名称：无;英文名称：Octapharma AB,"Lars Forssells gata 23, 112 75 Stockholm, Sweden",四川兴科蓉药业有限责任公司,中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号,"1.根据境内责任人兼注册代理机构《营业执照》，规范其注册地址为“中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号”，实际地址无变化。
2.根据国家药监局关于修订人血白蛋白注射剂说明书的公告（2025年第5号），在说明书【不良反应】项下增加公告要求的内容。
3.根据国家药监局关于发布《境外药品上市许可持有人指定境内责任人管理暂行规定》的公告（2024年第137号），在说明书中列出下述信息：
【境内责任人】 
名称：四川兴科蓉药业有限责任公司 
地址：中国（四川）自由贸易试验区成都市高新区天府大道北段1700号3栋2单元18层1805-1809号 
电话：028-62912988
4.根据备案公示（备案号：国备2025000205），将说明书、小盒、标签、中包装标签中上市许可持有人和生产厂的地址由""SE-112 75 Stockholm, Sweden""，规范为""Lars Forssells gata 23, 112 75 Stockholm, Sweden""，仅地址名称调整，无实际地址变化。
5.根据补充申请（通知书编号：2021B01668），将说明书、小盒、标签、中包装标签规格的“12.5g(25%, 50ml)/瓶”或“12.5g (25%, 50ml)”规范为“12.5g/瓶 (25%, 50ml)”。",2025-03-14,国家药品监督管理局药品审评中心,已备案。请关注：境外持有人应当按照《国家药监局关于发布〈境外药品上市许可持有人指定境内责任人管理暂行规定〉的公告》（2024年第437号）要求，向所在地省、自治区、直辖市药品监督管理部门报告其指定的境内责任人。
